name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating,id,description,previous_employer_1,previous_employer_2,address_1,address_2
Michael White,https://dummyimage.com/332x203,PhD in Computer Science,10,AI Researcher,Bonilla-Martinez,Natural Language Processing,"Machine Learning, Natural Language Processing, Python, Deep Learning, TensorFlow",3.5,1108,Dedicated to advancing artificial intelligence through research and development in machine learning and deep learning.,"Herrera, Cuevas and Anderson",Miller-Kirk,"26899 Michael Landing Apt. 169
Bowmanburgh, VI 09543","05282 Kayla Key
Michelleburgh, AS 04703"
Heather Rogers,https://placekitten.com/42/595,BSc in Computer Science,26,Senior Software Engineer,"Austin, Anderson and Floyd",Software Engineering,"C++, Software Design, API Development, System Architecture, Java",4.3,1109,"Seasoned software engineer with expertise in software design, development, and system architecture.",Mcguire and Sons,Wilson LLC,"6148 Chad Glen Apt. 861
North Gregory, UT 37278","89657 Moore Ville
Hannahburgh, WA 45967"
Lauren Mendez,https://dummyimage.com/325x588,BSc in Information Technology,30,DevOps Engineer,Jackson-Olson,Automation,"Linux, Shell Scripting, Ansible, Terraform, Kubernetes",1.5,1110,"Expert in automation, continuous integration, and efficient deployment processes.","Ingram, Thomas and Kidd","Rodriguez, Russell and Nelson","708 Christopher Stravenue
South Carla, AS 56910","225 Williams Walk Suite 828
West Michael, KY 98267"
Brittany Guerra,https://placekitten.com/334/982,BSc in Computer Science,23,Frontend Developer,"Lynch, Gonzalez and Carrillo",Frontend Development,"CSS, Angular, JavaScript, HTML, Responsive Design",2.2,1111,Proficient in creating engaging and responsive user interfaces using modern web technologies.,Stephens-Blackburn,"Haney, Reed and Woods","7516 Mckee Drive Suite 181
Mollychester, FL 58532","6979 Evans Spring
Millerfurt, NE 03172"
Cynthia Brown,https://picsum.photos/865/675,BSc in Data Engineering,36,Data Engineer,Smith and Sons,Data Engineering,"Data Pipeline Development, Hadoop, ETL, Apache Spark, Python",3.4,1112,"Skilled in building and maintaining data pipelines, ensuring data integrity and availability for analysis.","Gomez, Anderson and Ryan","Finley, Larson and Wilkinson","77894 Kelley Roads
Garyfurt, AR 80784","242 Chen Ports
Brooksland, NH 24570"
Cynthia Brandt,https://placekitten.com/913/1002,MSc in Computer Science,12,Principal Backend Developer,Davis PLC,Microservices Architecture,"NoSQL Databases, REST APIs, Backend Development, Microservices, Go",4.8,1113,No description available,Baker Inc,"Fisher, Carpenter and Reyes","174 Brittney Unions
South Kristenberg, VA 57588","3385 Nicholas Meadow
East Cindyburgh, WY 53924"
Marc Oliver,https://placekitten.com/276/52,PhD in Computer Science,18,Lead Software Developer,Nichols-Johnson,Database Systems,"API Development, Software Design, Database Management, Debugging, System Architecture",1.0,1114,No description available,Malone-Brown,"Lara, Rogers and Ewing","216 French Wells Apt. 844
North Andrew, OK 37227","50669 White Drives Suite 026
Lake Patricia, FM 87387"
Nicole Young,https://picsum.photos/443/727,MSc in Computer Science,34,Principal Full Stack Developer,Marshall-Welch,API Development,"React, JavaScript, Full Stack Development, SQL, Node.js",1.5,1115,No description available,Pratt-Griffith,Reed Inc,"Unit 2103 Box 5733
DPO AP 28812","34914 Shannon Fords
Travismouth, PA 65578"
Kelly Forbes,https://dummyimage.com/177x943,PhD in Computer Science,21,Senior Software Engineer,Johnson-Cox,Software Engineering,"C++, Python, Debugging, Agile Methodologies, System Architecture",4.2,1116,"Seasoned software engineer with expertise in software design, development, and system architecture.","Freeman, Mosley and Hicks",Bridges-Morris,"Unit 7668 Box 5368
DPO AP 01686","2330 Pamela Cape
Jeffreyfurt, IA 80762"
John Anderson,https://dummyimage.com/494x288,MSc in Information Systems,2,Principal Systems Analyst,Williams-Cooper,Process Improvement,"System Analysis, Technical Documentation, Business Analysis, Database Management, UML",4.6,1117,No description available,"Gordon, Goodwin and Conway",Moore-Fitzpatrick,"4063 Brenda Walks
Loweburgh, NJ 67780","417 Pugh Freeway Apt. 563
New Teresa, GA 25563"
Mike Gordon,https://dummyimage.com/1023x767,MSc in Information Systems,2,Senior Systems Analyst,"Robinson, Jackson and Graham",Process Improvement,"Database Management, Requirements Gathering, System Analysis, System Integration, Business Analysis",4.3,1118,No description available,"Smith, Flores and Thomas","Ruiz, Delgado and Shaw","USCGC Burns
FPO AP 44305","6143 Williams Avenue
East Brooke, NC 69978"
Christopher Hoffman,https://placekitten.com/981/250,BSc in Cybersecurity,18,Senior Cybersecurity Analyst,David PLC,Threat Intelligence,"Security Information and Event Management (SIEM), Network Security, Incident Response, Ethical Hacking, Firewall Management",1.6,1119,No description available,Hill Group,"Pearson, Jones and Rodriguez","5411 Shane Rest Suite 455
South Carriefort, GU 83938","3200 Dustin Shoals
Briannafort, GA 10614"
William Edwards,https://picsum.photos/495/630,BSc in Information Technology,7,Principal DevOps Engineer,Gonzalez LLC,Automation,"Linux, Shell Scripting, Ansible, AWS, Terraform",3.2,1120,No description available,Farmer-Brown,Chase Group,"68013 Ramsey Prairie Apt. 687
Sabrinaview, NY 67260","PSC 9936, Box 9098
APO AE 42939"
Margaret Carroll,https://dummyimage.com/147x400,MSc in Computer Science,18,Senior Backend Developer,Smith-Chandler,Database Management,"Python, Go, Microservices, REST APIs, Node.js",2.2,1121,No description available,"Freeman, Clark and Pierce","Petty, Clark and Brown","2723 Morris Mission
Smithbury, FM 72757","90122 Elizabeth Route Suite 593
Port Joshuashire, NY 00977"
Jeremy Jenkins,https://dummyimage.com/872x190,BSc in Computer Science,13,Senior Backend Developer,"Chapman, Chambers and Parker",Database Management,"Java, REST APIs, Go, SQL, Backend Development",3.8,1122,No description available,Martinez-Campbell,Ramsey Group,"6960 Chase Cove Apt. 699
Port Hannah, CT 43415","93761 Ryan Wells
Ellisfort, WY 23034"
Ashley Wilson,https://placekitten.com/695/637,MSc in Data Science,8,Data Scientist,Patterson-Larson,Machine Learning,"Statistics, Python, Data Visualization, Big Data, SQL",4.9,1123,"Skilled in data analysis, machine learning, and transforming data into actionable insights.",Marshall-Alvarado,Morales LLC,"360 Lyons Meadows Apt. 495
North Samanthaport, VT 83768","9232 Jackson Cliff
Alexiston, AZ 90773"
Elizabeth Baker,https://picsum.photos/624/314,BSc in Computer Science,2,Senior Blockchain Engineer,"Clark, Martin and Willis",Cryptography,"Ethereum, Consensus Algorithms, Solidity, Cryptography, Hyperledger",3.3,1124,No description available,Williams PLC,"Reese, Walker and Moreno","85911 Davis Stream
East Elizabeth, UT 22099","87254 Valdez Crossroad Apt. 023
Teresaborough, ND 92492"
Brandon Ford,https://picsum.photos/621/85,BSc in Information Technology,12,Frontend Developer,"Young, Torres and Williams",Responsive Design,"HTML, JavaScript, CSS, Angular, TypeScript",3.0,1125,Proficient in creating engaging and responsive user interfaces using modern web technologies.,Smith-Dougherty,Ford-Cox,"31901 Sean Lights Suite 801
Cindyland, AZ 34829","Unit 1864 Box 5935
DPO AA 68743"
Ryan Klein,https://picsum.photos/563/346,BSc in Data Engineering,31,Principal Data Engineer,Hartman LLC,Data Pipeline Development,"Data Warehousing, Hadoop, Data Pipeline Development, ETL, Apache Spark",1.9,1126,No description available,Carlson-Gibson,Smith Inc,"00534 Larsen Trace
East Susan, RI 99447","Unit 1210 Box 9476
DPO AP 99926"
Jonathan Miller,https://placekitten.com/431/663,BSc in Computer Science,22,Backend Developer,Johnson-Brown,Database Management,"Go, Backend Development, NoSQL Databases, REST APIs, Node.js",1.5,1127,"Expert in server-side development, databases, and API integration to support frontend applications.",Mcbride Inc,"Hernandez, Hale and Shannon","0009 Corey Neck
Blanchardshire, NE 89068","USNS Baker
FPO AE 73402"
Melissa Brown,https://picsum.photos/678/707,MSc in Computer Science,23,Senior Backend Developer,Campos-Cowan,Backend Development,"SQL, Microservices, Go, Java, Node.js",4.7,1128,No description available,"Hardy, Smith and Young",Nichols-Rose,"69557 Alex Canyon Suite 132
South Jermainechester, IA 77472","8009 Larry Gardens
Gabrielhaven, IN 42397"
Mary Stuart,https://dummyimage.com/916x662,BSc in Cybersecurity,7,Senior Cybersecurity Analyst,Smith Group,Threat Intelligence,"Vulnerability Assessment, Cryptography, Firewall Management, Ethical Hacking, Incident Response",2.4,1129,No description available,"Rodriguez, Rodriguez and Ramirez","Krueger, Booth and Jones","672 Ortiz Fork Suite 798
South Joanneburgh, WI 95260","951 John Estates
West Nicolemouth, MH 63131"
Ryan Jones,https://placekitten.com/407/783,BSc in Computer Science,37,Principal Backend Developer,Hendrix-Maynard,Backend Development,"Go, NoSQL Databases, Microservices, Java, REST APIs",3.9,1130,No description available,"Oneill, Smith and Hamilton",Martinez-Hamilton,"5872 Philip Prairie Suite 285
North Willie, SD 67419","847 Davis Union Apt. 880
Lake Joshuafurt, MO 72555"
Teresa Newman,https://placekitten.com/435/315,BSc in Information Technology,3,Senior DevOps Engineer,Ortiz-Jackson,Cloud Computing,"Terraform, Shell Scripting, Ansible, Docker, Kubernetes",4.3,1131,No description available,Ward-Anthony,"Meyer, Middleton and Perez","Unit 8181 Box 7192
DPO AE 21063","323 Christopher Points Suite 197
Caseyside, DE 59199"
Jason Brown,https://dummyimage.com/617x83,BSc in Computer Science,17,Mobile App Developer,Thompson Group,iOS Development,"Java, iOS Development, Flutter, Mobile UI Design, Cross-Platform Development",1.2,1132,"Experienced in developing mobile applications for iOS and Android platforms, focusing on performance and user experience.",Evans-Duncan,"Cox, Berry and Scott","7791 Patterson Glens Suite 834
Butlerchester, NJ 84467","73174 Leach Terrace Apt. 213
Lake Edwardmouth, KY 71968"
Brad Graham,https://dummyimage.com/340x460,MSc in Information Systems,24,Senior Systems Analyst,Miller Ltd,Business Analysis,"Technical Documentation, System Integration, Database Management, Business Analysis, Requirements Gathering",4.4,1133,No description available,Webb-Klein,Khan-Frazier,"60202 Romero Islands
Rogerstown, NJ 08056","08165 Munoz Point Apt. 950
South Robertmouth, NC 80874"
Craig Little,https://dummyimage.com/370x990,BSc in Computer Science,13,Senior Blockchain Engineer,"Oneal, Carrillo and Williams",Blockchain Technology,"Blockchain Development, Cryptography, Ethereum, Bitcoin, Distributed Systems",2.5,1134,No description available,Roach-Smith,"King, Ramirez and Hill","1369 Claire Crescent Apt. 733
Lake Heathermouth, ID 81069","Unit 1164 Box 4230
DPO AA 41202"
Thomas Jones,https://dummyimage.com/835x459,MSc in Blockchain Technology,10,Senior Blockchain Engineer,Stewart Group,Cryptography,"Bitcoin, Smart Contracts, Ethereum, Blockchain Development, Solidity",4.6,1135,No description available,Franklin and Sons,"Woodward, Galloway and Jones","4711 Holly Gateway
Deanberg, SC 44435","978 Hudson Freeway Suite 223
Peterborough, MN 51313"
Steven Williams,https://dummyimage.com/224x205,BSc in Data Engineering,26,Principal Data Engineer,White-Miller,ETL Processes,"Python, Apache Spark, SQL, Data Pipeline Development, Database Management",1.6,1136,No description available,"Davidson, Stevens and Bell",Schwartz-James,"Unit 9856 Box 9899
DPO AE 98937","PSC 7484, Box 2570
APO AP 46270"
Brittney Avila,https://picsum.photos/29/780,PhD in Data Science,5,Principal Data Scientist,Burke Inc,Predictive Analytics,"Natural Language Processing, Statistics, R, Data Mining, Python",1.5,1137,No description available,Davis and Sons,"Rodgers, Bradshaw and Howard","74089 Cassandra Isle Apt. 987
Callahanhaven, ID 66393","1504 Johnson Fords
Williammouth, WI 99579"
Jessica Estes,https://dummyimage.com/605x293,MSc in Data Engineering,3,Data Engineer,"Bradley, Brooks and Archer",Big Data,"Apache Spark, Data Warehousing, Data Pipeline Development, Hadoop, Python",3.5,1138,"Skilled in building and maintaining data pipelines, ensuring data integrity and availability for analysis.",Reeves PLC,Burns-Williams,"3936 Harold Ford Apt. 003
Ryanview, CO 59511","38810 William Crescent
Josephshire, NE 87855"
Kayla Maddox,https://placekitten.com/614/224,MSc in Data Engineering,16,Data Engineer,Christian and Sons,Big Data,"Data Pipeline Development, Database Management, Big Data, Apache Spark, ETL",4.0,1139,"Skilled in building and maintaining data pipelines, ensuring data integrity and availability for analysis.",Hunt Inc,Greene-Parks,"2138 Medina Village
North Zachary, AR 23901","5768 Ashley Isle
South Vickiborough, NH 07498"
Jerry Andrews,https://placekitten.com/450/548,MSc in Information Technology,24,Senior DevOps Engineer,"Ortiz, Jones and Owens",Infrastructure as Code,"Ansible, Shell Scripting, CI/CD, Linux, Terraform",2.1,1140,No description available,Smith Inc,Lopez-Hatfield,"25118 Rivera Forges Suite 459
South James, SC 78061","4519 Gentry Neck
Alexandraberg, MI 58932"
Daniel Ayers,https://dummyimage.com/814x542,BSc in Network Engineering,24,Network Engineer,Middleton-Barnes,Network Security,"Network Troubleshooting, Network Design, TCP/IP, LAN/WAN, Network Security",4.1,1141,"Proficient in designing, implementing, and managing network infrastructure to ensure optimal performance and security.","Swanson, Rodriguez and Gonzalez",Farrell LLC,"305 Robert Isle
Youngbury, PA 85723","179 Alexandra Mews
Kennethhaven, KY 16710"
Autumn Gallagher,https://dummyimage.com/96x300,BSc in Information Technology,13,Senior Frontend Developer,Barnes-Webb,Responsive Design,"Vue.js, CSS, TypeScript, Responsive Design, React",3.7,1142,No description available,"Reyes, Perry and Barber",Rodriguez-Williams,"4641 Christian Club
Lanestad, KS 64441","948 Carpenter Light Suite 962
North Brendachester, OH 63218"
Charles Wade,https://placekitten.com/204/901,BSc in Information Systems,30,Senior Systems Analyst,Davila-Castillo,System Integration,"System Analysis, Requirements Gathering, Database Management, Technical Documentation, UML",4.4,1143,No description available,Dickson Ltd,Fernandez PLC,"5255 Kristin Cliff Apt. 661
Jamesstad, RI 16293","01234 Davenport Center Apt. 808
Youngburgh, NY 33388"
Erin Murray,https://dummyimage.com/693x482,MSc in Network Engineering,20,Principal Network Engineer,"Strong, Valenzuela and Nicholson",Network Security,"LAN/WAN, Network Troubleshooting, VPN, Network Design, Cisco",2.6,1144,No description available,Thomas-Spencer,Keller-Mcclure,"168 Pratt Path Suite 057
East Jerryburgh, AR 71795","317 Brian Mountain Apt. 195
Leeshire, AS 15217"
Lisa Thompson,https://placekitten.com/397/163,MSc in Data Science,38,Data Scientist,"Turner, Lopez and Spencer",Predictive Analytics,"R, Statistics, Data Visualization, Data Mining, Machine Learning",3.7,1145,"Skilled in data analysis, machine learning, and transforming data into actionable insights.","Miles, Price and Clark",Barnes Group,"063 Peter Views
Sabrinashire, MT 60590","997 Kenneth Station
Jenningsville, UT 04214"
Mark Lutz,https://picsum.photos/693/19,MSc in Information Technology,39,Senior DevOps Engineer,"Ferrell, Martin and Clay",Automation,"Terraform, Kubernetes, Shell Scripting, Linux, Ansible",3.2,1146,No description available,Kemp PLC,Warren-Davis,"453 William Course Suite 127
Marilynshire, LA 19512","1677 Brown Turnpike Suite 530
Bellton, RI 31099"
Jonathan Orr,https://picsum.photos/603/917,PhD in Data Science,34,Principal Data Scientist,"Gray, Brown and Welch",Data Science,"Data Visualization, Big Data, Statistics, SQL, Machine Learning",2.5,1147,No description available,Walters-Rios,Reynolds-Simpson,"833 Rachel Station
Evanville, GA 94186","3398 Kimberly Curve Suite 231
South Briana, NC 91094"
Maria Lopez,https://placekitten.com/865/22,MSc in Information Systems,20,Senior Systems Analyst,"Dodson, Kim and Hart",Process Improvement,"Requirements Gathering, Business Analysis, System Analysis, Technical Documentation, UML",4.5,1148,No description available,Ramirez-Hill,Johnson-Allen,"4970 Darlene Ford Suite 797
Melindachester, HI 30280","2182 Cindy Squares Suite 979
Teresachester, VI 07040"
Claire Donovan,https://placekitten.com/999/209,PhD in Computer Science,6,Senior AI Scientist,Tucker PLC,Natural Language Processing,"Natural Language Processing, Reinforcement Learning, Deep Learning, Python, Algorithm Development",3.1,1149,No description available,"Hatfield, Ramirez and Short",Santana-Turner,"26322 Rivers Pike
New Amberview, AR 11818","65177 Williams Plains
South Jason, PR 97082"
Richard Preston,https://picsum.photos/38/548,PhD in Artificial Intelligence,40,AI Researcher,Davis-Gross,Natural Language Processing,"PyTorch, Reinforcement Learning, Algorithm Development, Machine Learning, TensorFlow",4.6,1150,Dedicated to advancing artificial intelligence through research and development in machine learning and deep learning.,"Harper, Schultz and Reilly",Hansen and Sons,"6942 Blankenship Lodge Suite 624
Murrayhaven, FM 23473","766 Park Parkway Apt. 118
West Baileymouth, VT 99062"
Kyle Zamora,https://picsum.photos/252/757,MSc in Network Engineering,7,Senior Network Engineer,"Jones, Peterson and Ryan",Network Administration,"Wireless Networking, Network Troubleshooting, VPN, TCP/IP, Firewall Configuration",2.5,1151,No description available,Howard PLC,Brown Ltd,"5540 Patel Extension
Ryanchester, LA 49927","75813 Joshua Ports
South Deborah, DE 27283"
Peter Kelly,https://picsum.photos/247/143,BSc in Cybersecurity,9,Senior Cybersecurity Analyst,Owen-Brown,Network Security,"Ethical Hacking, Network Security, Vulnerability Assessment, Incident Response, Firewall Management",4.7,1152,No description available,"Gray, White and Obrien","Nelson, Rodriguez and Bell","14769 Weeks Isle Apt. 246
Port Jennafurt, NJ 70997","USNV Hartman
FPO AE 16230"
Christopher Allen,https://dummyimage.com/980x805,MSc in Information Systems,6,Systems Analyst,Smith LLC,Process Improvement,"System Integration, Business Analysis, Technical Documentation, Database Management, Requirements Gathering",3.4,1153,Experienced in analyzing and improving system processes to enhance business operations.,Eaton Ltd,Jacobs Group,"0845 Gray Summit
Port Gabriel, PR 01566","811 White Summit Suite 504
West Tyler, NM 45591"
Christopher Brooks,https://picsum.photos/641/993,MSc in Information Technology,28,DevOps Engineer,"Bray, Campos and Bush",DevOps,"AWS, CI/CD, Docker, Linux, Ansible",1.7,1154,"Expert in automation, continuous integration, and efficient deployment processes.","Cruz, Massey and York",Winters Inc,"5589 Wall Stravenue
North John, LA 42015","59169 Jenkins Turnpike
Port Samuel, RI 33615"
Jessica Barker,https://dummyimage.com/931x467,MSc in Information Systems,38,Systems Analyst,Russell and Sons,System Integration,"Technical Documentation, System Integration, UML, Database Management, System Analysis",4.0,1155,Experienced in analyzing and improving system processes to enhance business operations.,Zavala-Willis,Young and Sons,"88029 Ivan Circle Apt. 022
Gutierrezland, WI 65307","USNS Escobar
FPO AP 57805"
Melissa Peterson,https://placekitten.com/946/70,MSc in Computer Science,10,Principal Backend Developer,Gonzalez Group,Microservices Architecture,"REST APIs, Microservices, Go, Java, Node.js",3.6,1156,No description available,Jennings-Olson,Solomon-Shepard,"0293 Schneider Ville
South Philliptown, MA 76827","05873 Huynh Fields
Lozanoside, WV 55717"
Nancy Gay,https://picsum.photos/781/715,BSc in Computer Science,28,Principal Mobile App Developer,"Erickson, Mills and Andrews",Android Development,"Java, Flutter, iOS Development, React Native, Swift",1.7,1157,No description available,"Thompson, Guerrero and Austin",Smith Ltd,"Unit 7012 Box 3536
DPO AA 70662","26441 Collins Point Apt. 646
Cathyshire, NY 63198"
Bryan Ball,https://placekitten.com/669/973,MSc in Network Engineering,3,Network Engineer,Roberts Inc,Network Security,"Network Security, LAN/WAN, TCP/IP, Wireless Networking, Cisco",1.7,1158,"Proficient in designing, implementing, and managing network infrastructure to ensure optimal performance and security.","Cabrera, Myers and Benjamin",Mcguire and Sons,"USS Hayes
FPO AP 90043","03806 Michael Shores
West Robert, WV 46047"
Christopher Padilla,https://dummyimage.com/135x412,BSc in Computer Science,24,Senior Full Stack Developer,Grant Inc,API Development,"Node.js, REST APIs, SQL, React, JavaScript",4.2,1159,No description available,Carey-Johnson,"Whitney, Murphy and Santiago","9210 Taylor Spur
Harveyport, WV 25152","5965 Russell Port Suite 149
South Lisa, MS 54554"
Elizabeth Murray,https://dummyimage.com/848x7,BSc in Computer Science,29,Principal Backend Developer,"Larsen, Jensen and Keller",Backend Development,"Microservices, SQL, Python, REST APIs, Java",2.4,1160,No description available,Diaz Inc,Jones-Green,"807 Sheila Plaza
New Tiffanyview, VI 39643","3642 Penny Plains Apt. 630
New Jeffreyville, ND 49032"
Mrs. Elizabeth Ross,https://picsum.photos/431/503,MSc in Information Technology,29,Principal DevOps Engineer,Schwartz-Richards,Infrastructure as Code,"Ansible, Linux, Azure, AWS, Docker",4.3,1161,No description available,Morgan-Preston,"Williams, Ramirez and Case","951 Nichole Ports
East Justinport, MT 17122","933 Kara Extension
Stevenstad, KS 46197"
Diana James,https://placekitten.com/534/382,BSc in Business Administration,7,Principal Product Manager,King Group,Product Management,"Market Research, Scrum, Agile, Product Roadmap, Project Management",4.3,1162,No description available,"Riley, Parrish and Decker",Carpenter-Baker,"36945 Richard Prairie Apt. 421
Smithland, TX 22039","2431 James Estates Apt. 385
Derekfurt, CO 32558"
Travis Mendoza,https://placekitten.com/504/925,MSc in Cybersecurity,17,Cybersecurity Expert,"Berger, Murphy and Ballard",Threat Intelligence,"Cryptography, Ethical Hacking, Incident Response, Network Security, Firewall Management",3.3,1163,"Specialist in protecting systems, networks, and data from cyber threats and vulnerabilities.",House-Villarreal,"Reynolds, Lewis and Downs","23757 Jennifer Meadows
Brewerport, PA 30088","23530 Christy Drive Suite 266
Perkinschester, NE 91321"
Walter Weeks,https://placekitten.com/567/809,MSc in Computer Science,13,Principal Product Manager,Harrison Group,User Experience,"User Experience, Product Lifecycle Management, Scrum, Agile, Market Research",4.4,1164,No description available,Donovan-Larson,"Moss, Allen and Francis","USS Cummings
FPO AP 70721","409 Novak Meadow Suite 315
Steelestad, PR 45220"
Steven Levy,https://placekitten.com/533/585,PhD in Artificial Intelligence,12,Senior AI Scientist,Swanson PLC,Computer Vision,"Python, Reinforcement Learning, Deep Learning, Natural Language Processing, TensorFlow",3.9,1165,No description available,Spears Ltd,"Smith, Morton and Larsen","373 Cantrell Forks Suite 598
Lake Kaylaborough, WI 73901","USNS Anderson
FPO AE 73655"
Natalie James,https://picsum.photos/632/8,MSc in Network Engineering,32,Network Engineer,"Martin, Johnson and Brown",Network Administration,"Wireless Networking, Network Troubleshooting, Cisco, VPN, Network Security",3.3,1166,"Proficient in designing, implementing, and managing network infrastructure to ensure optimal performance and security.","Tapia, Hamilton and Sanders",Simmons-Rodriguez,"986 Barnett Brook
East Ericshire, MT 25933","831 Lisa Summit Apt. 421
Lisaberg, IN 23932"
Amber Marks,https://placekitten.com/880/363,MBA,16,Principal Product Manager,"Frye, Davis and Jones",Product Management,"Product Roadmap, Market Research, Agile, Stakeholder Management, Project Management",1.5,1167,No description available,Cannon PLC,Swanson-Estrada,"043 Franklin Island Suite 884
North Dawn, LA 10041","4385 David Park Apt. 530
South Brandon, AZ 16871"
Kayla Jones,https://dummyimage.com/321x623,BSc in Computer Science,23,Frontend Developer,"Sutton, Bush and Allen",Frontend Development,"HTML, React, UI/UX Design, TypeScript, Vue.js",2.1,1168,Proficient in creating engaging and responsive user interfaces using modern web technologies.,"Parker, Rodriguez and Weaver",Butler and Sons,"974 Smith Points
West Alex, MN 05701","220 Moreno Burgs
Gloriaberg, VA 91466"
Christopher Taylor,https://dummyimage.com/326x281,MSc in Cybersecurity,26,Senior Cybersecurity Analyst,Christian Inc,Cybersecurity,"Security Information and Event Management (SIEM), Ethical Hacking, Firewall Management, Vulnerability Assessment, Incident Response",1.2,1169,No description available,Matthews-Rowe,Wilson-Williams,"21914 Eddie Cliff
North Heatherhaven, GA 71583","43559 Flores Tunnel
Bryanstad, OK 46733"
Eric Martinez,https://picsum.photos/375/777,MSc in Data Engineering,13,Principal Data Engineer,"Hicks, Warren and Davies",Data Pipeline Development,"Python, Data Warehousing, Apache Spark, Database Management, SQL",1.9,1170,No description available,"Kerr, Garner and Gonzales","Cook, Davis and King","Unit 2446 Box 0318
DPO AP 76543","9636 Maxwell Square
East Patriciamouth, RI 20812"
Brian White,https://dummyimage.com/409x821,PhD in Artificial Intelligence,12,AI Researcher,Lee Ltd,Artificial Intelligence,"TensorFlow, Deep Learning, Computer Vision, Machine Learning, Python",3.9,1171,Dedicated to advancing artificial intelligence through research and development in machine learning and deep learning.,Garcia Inc,"Ramirez, Haney and Stone","70669 Todd Street Apt. 316
Port Kennethport, SD 20435","66077 Vickie Parks
Tamaraborough, OK 21833"
Rachel Finley,https://placekitten.com/478/895,BSc in Information Technology,12,Frontend Developer,Salas-Soto,Responsive Design,"CSS, Angular, JavaScript, HTML, UI/UX Design",1.6,1172,Proficient in creating engaging and responsive user interfaces using modern web technologies.,Collins-Foley,Andrews-Tate,"3751 Veronica Alley Apt. 522
Brownstad, WV 53402","57883 Smith Vista
Priceborough, KY 20395"
Holly Watson,https://picsum.photos/880/905,BSc in Computer Science,34,Senior Software Engineer,"Ayers, Alvarez and Hall",Cloud Computing,"Agile Methodologies, Java, Python, C++, Database Management",4.4,1173,"Seasoned software engineer with expertise in software design, development, and system architecture.",Richardson Ltd,Bush-Robinson,"710 Schneider Extensions Apt. 122
Mooremouth, WY 20615","1991 Gay Camp
Port Jason, MI 67331"
Lisa Cruz,https://picsum.photos/543/563,PhD in Artificial Intelligence,10,AI Researcher,"Smith, Martin and Moore",Computer Vision,"Deep Learning, Python, Computer Vision, Algorithm Development, Reinforcement Learning",2.0,1174,Dedicated to advancing artificial intelligence through research and development in machine learning and deep learning.,Benson Ltd,Coleman-Lee,"71316 Smith Dale Apt. 401
Jessicaton, GA 97796","3005 Kaitlyn Street Suite 500
Frazierfurt, KS 02819"
Rhonda Davis,https://picsum.photos/189/635,MSc in Information Systems,7,Principal Systems Analyst,Watson Inc,Business Analysis,"UML, Database Management, Requirements Gathering, System Analysis, Technical Documentation",4.6,1175,No description available,"Pearson, Johnson and Wright","Ross, Mueller and Gilbert","227 Robyn Cliff Suite 749
West Sara, PA 50872","52140 Leach Gateway Suite 072
North Charles, ND 73241"
Michael Webb,https://dummyimage.com/436x18,BSc in Cybersecurity,30,Cybersecurity Expert,Evans Group,Network Security,"Incident Response, Ethical Hacking, Penetration Testing, Cryptography, Vulnerability Assessment",1.6,1176,"Specialist in protecting systems, networks, and data from cyber threats and vulnerabilities.","Peterson, Phillips and Howell","Walsh, Davis and Brown","19178 James Green
Jeremyview, VI 43310","9606 Alexander Cape
Davidmouth, NY 80889"
Eric Leonard,https://dummyimage.com/162x210,MSc in Information Systems,32,Senior Systems Analyst,Robertson-Burns,Business Analysis,"Process Improvement, Database Management, System Integration, System Analysis, Technical Documentation",2.3,1177,No description available,"Harris, Wright and Adkins","Young, Zimmerman and Ferguson","87869 Kimberly Harbor
Mosstown, CA 41120","USS Thomas
FPO AA 99260"
Cassandra Ford,https://placekitten.com/204/614,MSc in Computer Science,35,Mobile App Developer,Ford PLC,Cross-Platform Development,"iOS Development, React Native, Cross-Platform Development, Android Development, Mobile UI Design",1.5,1178,"Experienced in developing mobile applications for iOS and Android platforms, focusing on performance and user experience.","Johnson, Miller and Bailey",Mitchell PLC,"Unit 4981 Box 5813
DPO AA 50766","886 Hays Orchard
Port Heathershire, OH 23650"
Joseph Fritz,https://picsum.photos/44/1006,PhD in Data Science,13,Data Scientist,"Carrillo, Dixon and Arnold",Big Data,"Python, Machine Learning, Statistics, R, Big Data",2.8,1179,"Skilled in data analysis, machine learning, and transforming data into actionable insights.",White PLC,Davis LLC,"361 Brooke Views
Jamesstad, MD 45921","2525 Tami Courts
Port Brandonchester, DC 56686"
Kristina Sanchez,https://dummyimage.com/78x645,MSc in Blockchain Technology,1,Senior Blockchain Engineer,"Nelson, Hamilton and Sanchez",Cryptography,"Blockchain Development, Distributed Systems, Ethereum, Smart Contracts, Consensus Algorithms",3.0,1180,No description available,Bailey PLC,"Stewart, Rose and Meza","0826 Powell Creek
East Troyborough, CA 49648","353 Duncan Freeway Apt. 372
Port Andrew, PA 83875"
Leonard Myers,https://dummyimage.com/1013x876,BSc in Data Engineering,35,Principal Data Engineer,"Gamble, Evans and Lopez",Big Data,"Data Pipeline Development, SQL, Data Warehousing, ETL, Big Data",3.5,1181,No description available,Gonzalez Group,Lopez PLC,"0332 Nelson Unions Suite 102
Lake Leonview, RI 92269","732 Delgado Plains
Jeremiahhaven, NH 90147"
