name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Jackie Cowan,https://placekitten.com/361/456,BSc in Data Science,4,Data Scientist,Baldwin-Graham,Big Data,"Python, Machine Learning, Data Visualization, R, Statistics",1.2
Shannon Lambert,https://placekitten.com/785/410,PhD in Data Science,4,Principal Data Scientist,Curry Group,Machine Learning,"SQL, Data Visualization, Machine Learning, Big Data, R",1.1
Wayne Atkinson,https://picsum.photos/1014/827,MSc in Computer Science,32,Principal Product Manager,Gutierrez-Moran,Agile Development,"Product Lifecycle Management, Project Management, Market Research, User Experience, Stakeholder Management",2.0
Michael Hopkins,https://picsum.photos/47/638,BSc in Data Engineering,22,Principal Data Engineer,Bond-Kim,Data Pipeline Development,"SQL, Data Warehousing, ETL, Big Data, Database Management",1.6
Steven Henderson,https://placekitten.com/292/298,MSc in Data Science,4,Senior Data Scientist,Gilbert and Sons,Predictive Analytics,"Statistics, Big Data, Data Mining, R, Data Visualization",2.9
Phyllis Cherry,https://placekitten.com/358/604,BSc in Cybersecurity,22,Senior Cybersecurity Analyst,"Jones, Delgado and Griffin",Incident Response,"Penetration Testing, Vulnerability Assessment, Cryptography, Security Information and Event Management (SIEM), Firewall Management",3.0
Dawn Sexton,https://picsum.photos/893/681,BSc in Computer Science,36,Senior Mobile App Developer,Owens LLC,Mobile App Development,"Kotlin, Flutter, Android Development, Java, Swift",3.4
Jessica Morris,https://picsum.photos/629/816,MSc in Network Engineering,6,Principal Network Engineer,"Mosley, Perry and Nichols",Network Design,"VPN, Wireless Networking, Cisco, Network Security, LAN/WAN",3.8
Sarah Dillon,https://dummyimage.com/161x289,MSc in Computer Science,5,Senior Backend Developer,Vang Inc,Database Management,"SQL, Backend Development, Go, Java, NoSQL Databases",4.2
Dominique Charles,https://placekitten.com/428/190,BSc in Computer Science,18,Senior Blockchain Engineer,"West, Cooper and Williams",Cryptography,"Hyperledger, Solidity, Distributed Systems, Ethereum, Smart Contracts",3.7
Willie Lowery,https://placekitten.com/694/17,BSc in Data Science,27,Data Scientist,"Mcclure, Gray and Johnson",Data Science,"Natural Language Processing, Machine Learning, Statistics, Data Mining, R",3.5
Gregory Holland,https://picsum.photos/1010/732,BSc in Information Technology,16,Frontend Developer,Newman PLC,UI/UX Design,"TypeScript, Angular, Responsive Design, React, UI/UX Design",3.7
Dawn Wilson,https://dummyimage.com/303x926,MSc in Network Engineering,19,Senior Network Engineer,Jacobs and Sons,Network Design,"VPN, TCP/IP, Network Security, LAN/WAN, Cisco",2.5
Susan Freeman,https://picsum.photos/129/350,BSc in Computer Science,13,Principal Backend Developer,"Roberts, Mueller and Harris",Backend Development,"Java, Node.js, Backend Development, SQL, Microservices",3.2
Steven Clark,https://placekitten.com/917/337,BSc in Information Systems,23,Senior Systems Analyst,"Salazar, Glover and Clay",System Integration,"Business Analysis, Requirements Gathering, System Integration, Database Management, Technical Documentation",3.7
Debra Holt,https://dummyimage.com/1004x93,MSc in Information Technology,32,Principal DevOps Engineer,Ruiz Ltd,DevOps,"Terraform, Kubernetes, AWS, CI/CD, Docker",4.2
Thomas Nelson,https://picsum.photos/707/894,PhD in Computer Science,1,AI Researcher,"Morales, Galloway and Gonzales",Computer Vision,"Deep Learning, PyTorch, Computer Vision, Algorithm Development, Reinforcement Learning",1.6
John Gomez,https://placekitten.com/37/349,MSc in Information Technology,7,DevOps Engineer,Garcia-Harris,Automation,"AWS, Ansible, Terraform, Kubernetes, Linux",1.6
Peter Flores,https://picsum.photos/927/157,MSc in Cybersecurity,36,Cybersecurity Expert,Mcdowell PLC,Cybersecurity,"Network Security, Vulnerability Assessment, Security Information and Event Management (SIEM), Firewall Management, Incident Response",2.8
Michael Shaffer,https://dummyimage.com/919x721,MSc in Computer Science,21,Senior Full Stack Developer,Rodriguez-Shepherd,Full Stack Development,"SQL, CSS, React, Angular, HTML",4.1
Theresa White,https://placekitten.com/977/826,BSc in Data Engineering,28,Senior Data Engineer,Hall-Trevino,ETL Processes,"ETL, Data Pipeline Development, SQL, Hadoop, Data Warehousing",3.0
Nicholas Ford,https://placekitten.com/895/219,MBA,27,Product Manager,Murphy-Thornton,Market Analysis,"Scrum, Market Research, Agile, Stakeholder Management, Product Roadmap",4.0
Ashley Gonzalez,https://dummyimage.com/633x290,MBA,3,Senior Product Manager,Serrano Group,Market Analysis,"Project Management, Product Roadmap, Scrum, Agile, Product Lifecycle Management",2.8
Natasha Johnson,https://picsum.photos/182/28,MSc in Computer Science,6,Full Stack Developer,Peterson-Jenkins,API Development,"HTML, Node.js, Full Stack Development, SQL, Angular",3.9
Michelle Rhodes,https://dummyimage.com/284x128,MSc in Blockchain Technology,22,Blockchain Developer,Horton-Olson,Cryptography,"Ethereum, Cryptography, Consensus Algorithms, Blockchain Development, Solidity",1.9
David Stevens,https://dummyimage.com/460x239,MSc in Data Engineering,18,Data Engineer,Todd-Lindsey,ETL Processes,"Python, Data Pipeline Development, Hadoop, SQL, Apache Spark",4.8
Antonio Davies,https://picsum.photos/916/794,BSc in Information Technology,27,Frontend Developer,Carroll LLC,UI/UX Design,"HTML, CSS, Responsive Design, React, Vue.js",4.1
Audrey Garcia,https://placekitten.com/333/880,MSc in Computer Science,3,Full Stack Developer,"Lewis, Hart and Walker",Frontend and Backend Integration,"Full Stack Development, React, CSS, SQL, HTML",1.5
Joseph Wells,https://placekitten.com/367/597,PhD in Computer Science,15,Senior Software Engineer,Gibson Group,Software Engineering,"Software Design, C++, System Architecture, Debugging, Java",3.2
Margaret Allen,https://picsum.photos/478/264,BSc in Information Technology,17,Senior Frontend Developer,Ibarra-Woods,Frontend Development,"React, Angular, JavaScript, UI/UX Design, HTML",2.9
Michael Morales,https://picsum.photos/675/559,BSc in Computer Science,5,Senior Software Engineer,Fletcher PLC,Database Systems,"Agile Methodologies, Debugging, Database Management, C++, Software Design",3.9
Mr. Scott Hines,https://picsum.photos/688/497,BSc in Computer Science,12,Principal Backend Developer,Tucker-Brady,Microservices Architecture,"Java, REST APIs, Python, Microservices, SQL",1.6
Michelle Clark,https://picsum.photos/303/289,PhD in Artificial Intelligence,23,AI Researcher,Wells Inc,Deep Learning,"Computer Vision, Machine Learning, Python, Deep Learning, TensorFlow",1.1
Scott Stone,https://picsum.photos/390/658,BSc in Data Science,30,Principal Data Scientist,Clark-Goodman,Predictive Analytics,"Statistics, Natural Language Processing, Data Mining, Big Data, R",1.5
Amanda Wilcox,https://dummyimage.com/56x709,MSc in Computer Science,33,Mobile App Developer,"Coleman, Young and Suarez",Cross-Platform Development,"Swift, Kotlin, Java, iOS Development, Mobile UI Design",2.2
Michael Howell,https://dummyimage.com/497x223,BSc in Computer Science,12,Principal Software Engineer,Hernandez and Sons,Database Systems,"Agile Methodologies, Software Design, Python, System Architecture, C++",3.2
Andrea Kline,https://dummyimage.com/11x646,MSc in Data Science,35,Senior Data Scientist,Rush-Peterson,Machine Learning,"Machine Learning, Big Data, R, Python, Natural Language Processing",3.7
Tasha Lyons,https://dummyimage.com/681x571,MSc in Computer Science,23,Principal Full Stack Developer,"Perry, Downs and Nichols",Full Stack Development,"SQL, REST APIs, CSS, JavaScript, HTML",3.9
Adam Johnson,https://picsum.photos/147/589,BSc in Computer Science,5,Principal Blockchain Developer,Reyes LLC,Decentralized Applications (DApps),"Solidity, Distributed Systems, Blockchain Development, Consensus Algorithms, Ethereum",1.2
Margaret Allen,https://placekitten.com/422/731,BSc in Computer Science,28,Principal Blockchain Developer,"Patton, Gilmore and Holt",Blockchain Technology,"Consensus Algorithms, Smart Contracts, Blockchain Development, Solidity, Bitcoin",1.7
Donald Allen,https://picsum.photos/1004/118,BSc in Information Systems,35,Senior Systems Analyst,Valentine LLC,System Integration,"Technical Documentation, UML, System Analysis, Requirements Gathering, Business Analysis",2.5
Matthew Rivera,https://dummyimage.com/561x273,BSc in Business Administration,38,Senior Product Manager,Thompson PLC,Market Analysis,"Project Management, Stakeholder Management, Scrum, Agile, Product Lifecycle Management",3.6
Michael Powell,https://dummyimage.com/213x400,MSc in Data Science,29,Senior Data Scientist,Gill and Sons,Big Data,"Data Visualization, Statistics, Machine Learning, R, Python",1.6
Edward Mays,https://placekitten.com/435/641,BSc in Computer Science,34,Senior Full Stack Developer,"Dunn, Rojas and White",Full Stack Development,"REST APIs, Full Stack Development, JavaScript, Angular, React",2.8
Tony Lewis,https://picsum.photos/841/174,MSc in Computer Science,36,Backend Developer,"Luna, Curry and Torres",Microservices Architecture,"Java, Node.js, Backend Development, Microservices, Python",1.8
Tony Scott,https://picsum.photos/597/839,PhD in Computer Science,11,AI Researcher,Todd-Moss,Natural Language Processing,"Reinforcement Learning, Deep Learning, Machine Learning, Python, Computer Vision",2.6
Marissa Rodriguez,https://picsum.photos/973/451,MSc in Cybersecurity,11,Principal Cybersecurity Specialist,"Garcia, Carson and Mills",Cybersecurity,"Incident Response, Ethical Hacking, Firewall Management, Security Information and Event Management (SIEM), Network Security",4.2
Jonathan Adams,https://picsum.photos/53/797,BSc in Information Systems,24,Principal Systems Analyst,"Stevens, Johnson and Larsen",Systems Analysis,"System Analysis, Technical Documentation, Process Improvement, Requirements Gathering, Database Management",4.5
Tracy Nguyen,https://dummyimage.com/7x300,BSc in Information Systems,8,Senior Systems Analyst,"Brown, Maxwell and Johnson",Business Analysis,"UML, Technical Documentation, Database Management, Requirements Gathering, Process Improvement",4.7
Angela Wood,https://picsum.photos/774/630,BSc in Computer Science,34,Senior Software Engineer,Valdez Ltd,Software Engineering,"Agile Methodologies, API Development, Python, Software Design, C++",4.5
George Hall,https://picsum.photos/937/384,BSc in Information Technology,1,Principal DevOps Engineer,Green-Hunt,Infrastructure as Code,"Azure, CI/CD, Kubernetes, Terraform, Docker",1.5
Brenda Jacobs,https://dummyimage.com/351x909,PhD in Computer Science,28,AI Researcher,Stevens Inc,Computer Vision,"Python, Deep Learning, Computer Vision, Natural Language Processing, Algorithm Development",2.0
Mary Allen,https://picsum.photos/138/326,BSc in Computer Science,27,Senior Full Stack Developer,Kelly-Wright,Full Stack Development,"REST APIs, Full Stack Development, JavaScript, SQL, Node.js",4.0
Andrea Taylor,https://picsum.photos/792/570,BSc in Information Technology,33,Senior DevOps Engineer,Bartlett LLC,DevOps,"Linux, Ansible, Docker, CI/CD, Azure",2.1
Joseph Jones,https://placekitten.com/867/655,PhD in Computer Science,39,Senior AI Scientist,Adams-Reed,Computer Vision,"TensorFlow, Deep Learning, Python, Reinforcement Learning, Algorithm Development",1.6
Amber Stephens,https://placekitten.com/641/666,BSc in Computer Science,33,Principal Mobile App Developer,"Cox, Casey and Guerra",Android Development,"Java, Kotlin, Swift, Cross-Platform Development, Flutter",2.5
Ashley Robertson,https://dummyimage.com/779x450,BSc in Data Engineering,18,Principal Data Engineer,Murphy Inc,ETL Processes,"Data Pipeline Development, Database Management, Python, Big Data, SQL",1.5
Monica Barnett,https://dummyimage.com/381x363,MSc in Information Technology,26,Principal DevOps Engineer,Mays and Sons,Automation,"Linux, Shell Scripting, Ansible, CI/CD, Terraform",4.7
Brandon Gibson,https://placekitten.com/274/490,BSc in Data Science,29,Data Scientist,"Collins, Adams and Watkins",Big Data,"SQL, Machine Learning, R, Big Data, Natural Language Processing",4.2
Megan Walsh,https://placekitten.com/196/123,BSc in Data Science,28,Data Scientist,Cummings PLC,Machine Learning,"Big Data, Data Visualization, Data Mining, SQL, Machine Learning",1.5
Carlos Prince,https://picsum.photos/305/712,MSc in Data Science,2,Principal Data Scientist,"Steele, Lopez and Joseph",Data Science,"Python, R, Statistics, Big Data, Data Mining",3.7
Judith Rodriguez,https://dummyimage.com/913x980,BSc in Computer Science,31,Senior Full Stack Developer,Howard-Jackson,Frontend and Backend Integration,"HTML, Full Stack Development, SQL, React, Node.js",4.9
Danny Garcia,https://picsum.photos/362/814,MSc in Computer Science,15,Senior Backend Developer,Ruiz-Miller,Backend Development,"Java, Backend Development, Microservices, REST APIs, Go",3.3
Daniel Jackson,https://dummyimage.com/424x71,BSc in Computer Science,37,Senior Backend Developer,Wells-Willis,Backend Development,"SQL, Python, Node.js, Go, REST APIs",3.9
Brian Soto,https://picsum.photos/798/67,BSc in Network Engineering,16,Principal Network Engineer,"Berry, Bartlett and Barrett",Networking,"Network Design, Firewall Configuration, Network Security, VPN, LAN/WAN",2.8
Shelly Morris,https://picsum.photos/989/35,MSc in Computer Science,8,Lead Software Developer,"Solomon, Cole and Liu",Cloud Computing,"Python, Debugging, Agile Methodologies, Software Design, Java",2.1
Nicole Franklin,https://dummyimage.com/385x809,MSc in Computer Science,13,Principal Backend Developer,Miller-White,Database Management,"Backend Development, Microservices, NoSQL Databases, Go, Python",4.9
Paul Morrow,https://placekitten.com/341/658,BSc in Computer Science,28,Mobile App Developer,"Bush, Lewis and Burke",Android Development,"Java, Flutter, Cross-Platform Development, Android Development, iOS Development",1.9
Donna Stuart,https://picsum.photos/712/811,BSc in Information Systems,39,Principal Systems Analyst,Herrera-Hawkins,Business Analysis,"System Analysis, System Integration, Requirements Gathering, UML, Business Analysis",1.5
Emily Stein,https://dummyimage.com/30x527,MSc in Computer Science,32,Backend Developer,Mitchell PLC,API Development,"Microservices, Python, Node.js, Go, NoSQL Databases",2.5
Stephanie Herman,https://placekitten.com/352/68,MSc in Computer Science,26,Principal Mobile App Developer,Wilson Group,Cross-Platform Development,"iOS Development, Cross-Platform Development, React Native, Kotlin, Flutter",2.5
Michael Davis,https://dummyimage.com/112x994,PhD in Computer Science,6,Principal AI Researcher,"Jackson, Klein and Jackson",Artificial Intelligence,"TensorFlow, Natural Language Processing, Computer Vision, Algorithm Development, PyTorch",4.5
Michael Turner,https://placekitten.com/972/501,BSc in Data Engineering,29,Data Engineer,Perez Group,Big Data,"SQL, Hadoop, Data Warehousing, Big Data, ETL",4.3
Patrick Church,https://picsum.photos/982/784,BSc in Computer Science,18,Principal Backend Developer,Hernandez-Johnson,Microservices Architecture,"Node.js, Python, Microservices, REST APIs, NoSQL Databases",3.9
Roy Long,https://dummyimage.com/944x19,BSc in Cybersecurity,11,Principal Cybersecurity Specialist,Powell-Johnson,Network Security,"Security Information and Event Management (SIEM), Cryptography, Incident Response, Ethical Hacking, Penetration Testing",3.5
Laura Lopez,https://picsum.photos/200/358,MSc in Computer Science,20,Backend Developer,Martin LLC,Microservices Architecture,"SQL, REST APIs, Microservices, NoSQL Databases, Node.js",1.6
Joshua Smith,https://placekitten.com/513/884,BSc in Cybersecurity,12,Senior Cybersecurity Analyst,Miller Group,Network Security,"Vulnerability Assessment, Penetration Testing, Firewall Management, Ethical Hacking, Security Information and Event Management (SIEM)",4.0
Sabrina Lewis,https://placekitten.com/600/1023,MSc in Computer Science,1,Senior Full Stack Developer,Cunningham-Page,Frontend and Backend Integration,"Full Stack Development, Node.js, React, SQL, JavaScript",1.3
Willie Pitts,https://dummyimage.com/133x809,BSc in Computer Science,21,Senior Full Stack Developer,"Gonzalez, Simmons and Cannon",Full Stack Development,"HTML, React, Angular, Full Stack Development, Node.js",4.6
Christopher Williams,https://placekitten.com/153/995,BSc in Information Technology,21,DevOps Engineer,Conway-Jensen,Cloud Computing,"Shell Scripting, Ansible, Docker, Azure, Kubernetes",3.5
Victoria Bell,https://placekitten.com/698/278,BSc in Network Engineering,38,Principal Network Engineer,"Moore, Hill and Burgess",Network Administration,"Network Troubleshooting, Cisco, Wireless Networking, Firewall Configuration, VPN",4.6
James Weeks DDS,https://placekitten.com/979/655,MSc in Computer Science,10,Principal Backend Developer,Reed Inc,Microservices Architecture,"Node.js, REST APIs, Java, Backend Development, Microservices",4.5
Casey Fletcher,https://placekitten.com/832/486,PhD in Computer Science,9,Senior Software Engineer,Davis Ltd,System Design,"Software Design, Python, Database Management, API Development, C++",2.5
Stacy Smith,https://dummyimage.com/131x594,BSc in Information Technology,20,Senior DevOps Engineer,Kelly PLC,Cloud Computing,"Linux, Shell Scripting, Kubernetes, AWS, Azure",3.6
Shannon Jones,https://picsum.photos/132/166,MSc in Information Systems,10,Senior Systems Analyst,"Wang, Johnson and Levine",Business Analysis,"Requirements Gathering, System Analysis, UML, Business Analysis, Process Improvement",1.4
Jennifer Matthews,https://picsum.photos/884/270,MSc in Cybersecurity,8,Principal Cybersecurity Specialist,"Hooper, Kirk and Cook",Incident Response,"Network Security, Firewall Management, Penetration Testing, Vulnerability Assessment, Incident Response",3.2
Katie Anderson,https://picsum.photos/69/984,MBA,11,Senior Product Manager,Johnson LLC,User Experience,"Market Research, Product Roadmap, Agile, User Experience, Scrum",3.4
Tracy Hartman,https://placekitten.com/711/570,BSc in Computer Science,3,Lead Software Developer,Johnson Ltd,Software Engineering,"Python, Software Design, System Architecture, Java, Debugging",3.2
Raven Carter,https://picsum.photos/323/665,MSc in Data Engineering,30,Data Engineer,"Peck, Henry and Vargas",Data Engineering,"SQL, Data Pipeline Development, Hadoop, Big Data, ETL",1.8
Timothy Lewis,https://picsum.photos/782/477,BSc in Information Technology,22,Senior DevOps Engineer,Thomas PLC,Cloud Computing,"Linux, AWS, Terraform, Docker, Shell Scripting",1.0
Laura Turner,https://picsum.photos/173/154,BSc in Data Engineering,4,Data Engineer,Davidson and Sons,ETL Processes,"Python, Database Management, Hadoop, ETL, Data Warehousing",3.1
Curtis Valdez,https://placekitten.com/101/806,MSc in Blockchain Technology,36,Principal Blockchain Developer,"Gonzalez, Martinez and Allen",Decentralized Applications (DApps),"Smart Contracts, Distributed Systems, Ethereum, Consensus Algorithms, Bitcoin",3.8
Sophia Warren,https://dummyimage.com/974x539,MSc in Data Engineering,27,Senior Data Engineer,Manning-Mueller,Data Engineering,"Python, Database Management, SQL, Apache Spark, Big Data",3.5
Brian Mercado,https://dummyimage.com/211x468,PhD in Artificial Intelligence,15,AI Researcher,"Sanders, Wood and Short",Computer Vision,"Algorithm Development, Machine Learning, Natural Language Processing, Computer Vision, PyTorch",2.6
Zachary Rhodes,https://picsum.photos/519/583,PhD in Computer Science,36,Principal AI Researcher,Chandler-Dougherty,Deep Learning,"PyTorch, Algorithm Development, Computer Vision, TensorFlow, Deep Learning",2.5
Ashley Miller,https://placekitten.com/704/411,PhD in Data Science,11,Senior Data Scientist,"Parks, Barnes and Chang",Big Data,"SQL, Python, R, Data Visualization, Data Mining",1.9
Mary Lopez,https://placekitten.com/789/56,MSc in Cybersecurity,35,Senior Cybersecurity Analyst,Jimenez-Sanders,Threat Intelligence,"Penetration Testing, Security Information and Event Management (SIEM), Cryptography, Incident Response, Ethical Hacking",4.6
Ryan Gonzalez DDS,https://placekitten.com/508/523,BSc in Information Systems,40,Senior Systems Analyst,"Simmons, Blanchard and Gonzalez",Process Improvement,"System Analysis, Business Analysis, Requirements Gathering, Technical Documentation, UML",3.7
Teresa Cummings,https://placekitten.com/114/714,MSc in Data Science,9,Principal Data Scientist,Schroeder PLC,Data Science,"Statistics, R, Data Mining, Big Data, Data Visualization",3.2
Michelle Lopez,https://placekitten.com/243/970,MSc in Computer Science,21,Principal Software Engineer,White and Sons,System Design,"Agile Methodologies, Debugging, Java, System Architecture, API Development",2.6
Adam Pratt,https://picsum.photos/330/712,BSc in Information Technology,15,Senior DevOps Engineer,Cruz-Smith,DevOps,"Terraform, AWS, Ansible, Kubernetes, Shell Scripting",1.9
Devin Davis,https://placekitten.com/50/174,PhD in Artificial Intelligence,7,Senior AI Scientist,Taylor Group,Artificial Intelligence,"Deep Learning, Machine Learning, Computer Vision, Reinforcement Learning, Python",3.3
Tina Foster,https://dummyimage.com/785x107,PhD in Artificial Intelligence,17,Principal AI Researcher,Stewart Ltd,Natural Language Processing,"Machine Learning, Algorithm Development, Python, Natural Language Processing, Deep Learning",3.2
Edward Lopez,https://placekitten.com/189/613,MSc in Computer Science,3,Backend Developer,Thompson Inc,API Development,"Backend Development, NoSQL Databases, Python, REST APIs, Go",2.8
Dr. Kimberly Jones,https://dummyimage.com/405x120,MSc in Network Engineering,1,Principal Network Engineer,Cobb-Smith,Networking,"Network Troubleshooting, Network Design, VPN, Firewall Configuration, LAN/WAN",2.3
James Murray,https://dummyimage.com/370x50,MSc in Computer Science,14,Backend Developer,"Black, Watson and Sanchez",Database Management,"Go, Java, REST APIs, Microservices, Python",3.0
Heather Finley,https://picsum.photos/184/829,MSc in Computer Science,5,Full Stack Developer,Thomas-Rivera,Full Stack Development,"Angular, SQL, React, JavaScript, HTML",1.0
David Porter,https://placekitten.com/452/889,PhD in Computer Science,11,Principal AI Researcher,"Holmes, Johnson and Gonzalez",Deep Learning,"Deep Learning, Reinforcement Learning, Python, Algorithm Development, TensorFlow",4.9
Lori Williams,https://placekitten.com/853/424,BSc in Computer Science,4,Frontend Developer,Beck-Ellis,UI/UX Design,"Responsive Design, UI/UX Design, TypeScript, CSS, Angular",4.3
Julie Anderson,https://placekitten.com/417/863,MSc in Information Systems,20,Principal Systems Analyst,Gonzalez PLC,System Integration,"Database Management, System Analysis, Technical Documentation, System Integration, Business Analysis",3.6
Christopher Stanton,https://dummyimage.com/18x969,BSc in Information Technology,13,Frontend Developer,Alvarez and Sons,Responsive Design,"React, UI/UX Design, Angular, Vue.js, HTML",2.8
Frances Mccann,https://dummyimage.com/18x449,MSc in Blockchain Technology,20,Blockchain Developer,Gonzalez Ltd,Decentralized Applications (DApps),"Blockchain Development, Bitcoin, Distributed Systems, Smart Contracts, Hyperledger",3.6
Matthew Moore,https://picsum.photos/639/100,MSc in Data Science,9,Senior Data Scientist,Davis-Fox,Predictive Analytics,"Natural Language Processing, Data Visualization, Big Data, SQL, Python",4.6
Jared Valdez,https://placekitten.com/837/152,BSc in Cybersecurity,30,Senior Cybersecurity Analyst,Mccoy Inc,Incident Response,"Cryptography, Firewall Management, Incident Response, Vulnerability Assessment, Ethical Hacking",2.4
Tracy Burnett,https://placekitten.com/851/81,MSc in Computer Science,19,Mobile App Developer,Watts-Smith,Mobile App Development,"Flutter, Kotlin, Android Development, React Native, Mobile UI Design",4.2
Daniel Webster,https://dummyimage.com/214x243,PhD in Data Science,4,Data Scientist,Jennings-Hall,Big Data,"Python, R, Machine Learning, Natural Language Processing, Statistics",2.6
Randall White,https://placekitten.com/296/585,BSc in Computer Science,39,Principal Backend Developer,White-Mendoza,API Development,"NoSQL Databases, Backend Development, Microservices, Go, REST APIs",1.2
Amber Jackson,https://dummyimage.com/422x583,BSc in Cybersecurity,13,Senior Cybersecurity Analyst,Hodge Inc,Threat Intelligence,"Ethical Hacking, Incident Response, Penetration Testing, Vulnerability Assessment, Cryptography",3.4
Cristian Fisher,https://placekitten.com/63/258,MSc in Information Technology,16,DevOps Engineer,"Edwards, Tate and Santiago",Automation,"CI/CD, Docker, Terraform, AWS, Shell Scripting",3.6
Kenneth Kennedy,https://placekitten.com/65/741,BSc in Computer Science,8,Principal Frontend Developer,Carroll Ltd,Frontend Development,"Angular, JavaScript, CSS, UI/UX Design, TypeScript",1.4
Victoria Barrera,https://dummyimage.com/116x566,PhD in Computer Science,27,Lead Software Developer,Thomas and Sons,Software Engineering,"C++, Java, System Architecture, Debugging, Agile Methodologies",3.3
Brian Shaw,https://picsum.photos/812/899,BSc in Computer Science,34,Principal Backend Developer,Giles-Roberts,Database Management,"Microservices, REST APIs, Java, Go, Backend Development",4.1
Debra Downs,https://placekitten.com/359/966,BSc in Computer Science,24,Blockchain Developer,White PLC,Smart Contracts,"Bitcoin, Blockchain Development, Cryptography, Smart Contracts, Distributed Systems",4.0
Nicole Rodriguez,https://dummyimage.com/496x421,MSc in Information Technology,16,DevOps Engineer,"Gilbert, Young and Williams",Infrastructure as Code,"Linux, Terraform, Azure, Docker, Ansible",4.8
Terri Joyce,https://placekitten.com/239/968,BSc in Data Engineering,5,Data Engineer,Peters-Brown,Data Pipeline Development,"Data Warehousing, ETL, Python, Hadoop, SQL",3.7
Jeff Harris,https://placekitten.com/253/410,BSc in Information Technology,24,Senior Frontend Developer,Hall and Sons,Web Development,"CSS, React, Angular, JavaScript, HTML",4.3
Jose Heath,https://picsum.photos/434/118,BSc in Computer Science,34,Senior Mobile App Developer,Johnson Ltd,Android Development,"Android Development, iOS Development, Flutter, React Native, Cross-Platform Development",3.5
Eric Glenn,https://dummyimage.com/409x262,MSc in Cybersecurity,37,Principal Cybersecurity Specialist,"Atkins, Cook and Thomas",Incident Response,"Vulnerability Assessment, Penetration Testing, Incident Response, Security Information and Event Management (SIEM), Firewall Management",1.6
Raymond Dennis,https://placekitten.com/933/204,MSc in Information Technology,37,Principal DevOps Engineer,"Holland, Spears and King",DevOps,"Shell Scripting, Linux, Terraform, CI/CD, Ansible",3.1
Mr. Stephen King MD,https://placekitten.com/2/888,BSc in Information Technology,13,Senior Frontend Developer,Cole-Ramsey,Web Development,"JavaScript, UI/UX Design, Vue.js, Angular, CSS",4.6
Katherine Baker,https://dummyimage.com/983x106,BSc in Computer Science,28,Principal Frontend Developer,"Lloyd, Clark and Guzman",Frontend Development,"Responsive Design, Angular, TypeScript, UI/UX Design, HTML",1.9
James Vargas,https://picsum.photos/1005/361,MSc in Computer Science,19,Product Manager,Wood-Schmidt,Agile Development,"Product Lifecycle Management, Market Research, Agile, Stakeholder Management, Product Roadmap",1.1
Alex Parker,https://picsum.photos/386/213,MSc in Computer Science,25,Full Stack Developer,"Turner, Duarte and Quinn",Full Stack Development,"SQL, REST APIs, Full Stack Development, Node.js, Angular",4.2
Amy Collins,https://picsum.photos/151/985,BSc in Computer Science,25,Principal Backend Developer,Moss PLC,Backend Development,"NoSQL Databases, Java, REST APIs, SQL, Backend Development",3.3
Abigail Fisher,https://dummyimage.com/258x754,MBA,11,Senior Product Manager,Huffman-Sanders,Product Management,"Product Roadmap, Product Lifecycle Management, Scrum, Project Management, Stakeholder Management",2.5
Steven Martin,https://placekitten.com/464/526,MSc in Information Systems,38,Systems Analyst,"Mckay, Williams and Arnold",Process Improvement,"Process Improvement, Technical Documentation, UML, Business Analysis, Requirements Gathering",2.1
Matthew Taylor,https://dummyimage.com/766x967,BSc in Information Systems,18,Systems Analyst,Marquez LLC,Process Improvement,"System Analysis, Technical Documentation, Business Analysis, Requirements Gathering, Process Improvement",2.5
Kayla Diaz,https://placekitten.com/39/431,MSc in Computer Science,2,Backend Developer,Leonard PLC,Microservices Architecture,"Java, Microservices, Backend Development, Go, Python",3.1
Blake Berg,https://dummyimage.com/443x306,PhD in Computer Science,28,Principal Software Engineer,Miller-Berry,Cloud Computing,"Software Design, Debugging, System Architecture, API Development, C++",1.5
Shawn Wilson,https://picsum.photos/690/133,PhD in Computer Science,27,Senior Software Engineer,"Johnson, Olson and Greer",Database Systems,"Debugging, Software Design, Java, Database Management, Python",5.0
Anthony Elliott,https://dummyimage.com/409x615,BSc in Computer Science,30,Frontend Developer,Haney Group,Frontend Development,"Angular, Vue.js, TypeScript, CSS, React",2.7
Christopher Anderson,https://picsum.photos/686/424,MBA,17,Principal Product Manager,Davidson Ltd,Market Analysis,"Stakeholder Management, Product Lifecycle Management, Agile, Product Roadmap, Scrum",1.3
Karen Richardson,https://picsum.photos/678/284,MSc in Computer Science,16,Backend Developer,"Mendez, Griffin and Conner",Backend Development,"Node.js, REST APIs, Backend Development, Python, NoSQL Databases",1.7
Richard Camacho,https://placekitten.com/429/959,MSc in Cybersecurity,35,Senior Cybersecurity Analyst,Weber-Pacheco,Cybersecurity,"Incident Response, Firewall Management, Penetration Testing, Cryptography, Network Security",1.4
Amanda Holland,https://picsum.photos/55/281,MSc in Data Science,21,Principal Data Scientist,"Adams, Brown and Blake",Predictive Analytics,"R, SQL, Data Mining, Big Data, Statistics",2.5
Jason Taylor,https://picsum.photos/402/433,MSc in Network Engineering,9,Senior Network Engineer,Nunez LLC,Network Security,"LAN/WAN, Network Design, VPN, Network Security, Wireless Networking",1.7
